North,East,West,South
387.05613708496094,414.698486328125,394.1669464111328,436.4564971923828
432.69715881347656,422.0926208496094,396.064208984375,416.30323791503906
429.9774475097656,415.91432189941406,411.30384826660156,435.98187255859375
443.32691955566406,390.22068786621094,416.4227294921875,396.72328186035156
473.4758605957031,457.81187438964844,418.618408203125,423.3087463378906
464.9675598144531,425.3292694091797,420.1680908203125,434.0258026123047
493.31517028808594,413.02764892578125,438.5988311767578,372.37091064453125
472.7837677001953,426.9258575439453,426.7012176513672,431.97906494140625
437.22071838378906,435.783447265625,381.8727722167969,438.2444763183594
434.0262908935547,467.59478759765625,365.4793243408203,410.3715362548828
442.23252868652344,436.20867919921875,398.1340789794922,415.96018981933594
444.65093994140625,400.54762268066406,408.8888854980469,414.29498291015625
469.0653533935547,407.40110778808594,425.1517791748047,434.09693908691406
450.7549133300781,429.92076110839844,379.3163757324219,440.0252685546875
444.232177734375,431.6516571044922,416.0478515625,423.39625549316406
460.8556671142578,427.4027404785156,424.9675598144531,415.51171875
411.4204559326172,449.689453125,398.2418670654297,405.0185546875
417.9563446044922,447.7269744873047,405.13775634765625,431.8390808105469
452.88059997558594,461.72454833984375,427.98577880859375,414.9159393310547
484.0713806152344,413.0854187011719,435.4982604980469,400.8748321533203
493.32122802734375,422.4532775878906,430.43963623046875,429.4634094238281
499.25880432128906,441.00770568847656,418.0696258544922,440.2801971435547
478.4996032714844,440.1058044433594,438.9773254394531,441.98541259765625
492.0113067626953,430.1867370605469,424.78594970703125,436.16461181640625
406.4691619873047,470.7345886230469,437.4580383300781,428.17535400390625
387.1990966796875,485.72930908203125,433.5067901611328,449.7040557861328
421.8153991699219,481.8730926513672,459.0272674560547,430.21006774902344
488.35740661621094,492.08189392089844,457.3823699951172,459.8120880126953
477.71629333496094,451.59117126464844,427.22218322753906,431.4689025878906
506.3088073730469,466.17193603515625,419.90586853027344,444.42242431640625
454.8954620361328,432.9615173339844,426.7435760498047,437.0666046142578
498.1999206542969,453.47447204589844,433.7079620361328,452.72706604003906
447.141845703125,494.08201599121094,452.63108825683594,448.6442565917969
433.2853240966797,481.5777893066406,432.43626403808594,429.52171325683594
454.7821350097656,496.2423553466797,438.84852600097656,461.0950622558594
444.0548858642578,489.2543487548828,431.832763671875,457.12152099609375
495.5621337890625,487.6014862060547,441.4093017578125,444.8336944580078
491.32435607910156,471.8761901855469,450.35166931152344,440.77281188964844
484.3935852050781,474.0304260253906,449.56971740722656,444.6173858642578
507.2593231201172,468.58709716796875,445.3507995605469,455.8295135498047
441.88706970214844,504.42308044433594,454.7035369873047,440.5730438232422
453.6981658935547,504.06227111816406,436.44224548339844,452.61224365234375
428.04164123535156,500.02354431152344,424.53981018066406,448.9318084716797
467.53269958496094,490.7710418701172,431.3555450439453,443.1291809082031
476.22865295410156,476.8977966308594,437.3644714355469,431.71763610839844
517.8789825439453,513.3549499511719,436.2111358642578,474.0689239501953
512.3585205078125,478.65293884277344,472.1489562988281,458.21533203125
503.31700134277344,473.221923828125,441.6184387207031,445.6228332519531
444.56300354003906,506.44578552246094,431.74208068847656,457.93406677246094
468.91632080078125,508.4341278076172,449.1625671386719,458.9750061035156
456.7654113769531,508.0372009277344,433.1849060058594,458.7239990234375
454.1215362548828,515.7094573974609,472.70098876953125,441.14817810058594
480.0586242675781,514.8985137939453,440.3770751953125,455.3823699951172
485.1389923095703,495.97113037109375,449.5535125732422,457.8267059326172
505.4764862060547,516.6522979736328,453.30218505859375,442.2876281738281
499.44923400878906,490.5754852294922,463.77638244628906,421.09922790527344
420.45118713378906,490.8875274658203,448.9251403808594,463.7809753417969
439.74803161621094,496.6445770263672,430.9553680419922,445.4835968017578
456.8343200683594,508.81385803222656,476.9936981201172,469.3544921875
467.4320831298828,496.62596130371094,430.05029296875,450.55072021484375
454.4004669189453,489.70245361328125,448.7174987792969,460.00794982910156
453.5225524902344,506.69873046875,445.8677673339844,452.95416259765625
495.0459747314453,513.2849884033203,439.7057189941406,454.1231231689453
521.8217468261719,524.91748046875,490.8216552734375,472.21856689453125
430.96177673339844,436.0582733154297,479.57167053222656,452.69056701660156
458.2298889160156,458.52294921875,481.3269348144531,439.5035400390625
468.4897918701172,430.8625946044922,449.39503479003906,461.5250549316406
506.0123291015625,428.87864685058594,470.8492736816406,439.0000915527344
517.3829345703125,455.28944396972656,455.08660888671875,462.94366455078125
503.9367218017578,461.91835021972656,451.8382873535156,471.22923278808594
506.7144470214844,465.06349182128906,458.60411071777344,458.3053741455078
508.66387939453125,466.8932800292969,474.7089538574219,454.4291687011719
475.6584777832031,505.69921875,500.1802673339844,471.38194274902344
478.8056640625,503.14404296875,494.46546936035156,479.8613586425781
487.8595733642578,457.1781768798828,481.6348114013672,459.9890899658203
470.6354522705078,450.1419219970703,469.8244323730469,474.959716796875
517.8730773925781,463.6978454589844,460.4802551269531,464.0854034423828
520.1158905029297,451.47869873046875,451.2187957763672,470.4631042480469
501.2786102294922,483.8773956298828,469.4278869628906,484.16444396972656
524.5310211181641,470.29039001464844,460.0923156738281,471.23390197753906
478.07688903808594,492.99603271484375,483.1362609863281,462.31336975097656
465.45347595214844,507.19752502441406,463.5277404785156,480.7220001220703
492.6349334716797,493.93072509765625,458.4561767578125,452.1986389160156
482.8256378173828,456.6246795654297,469.25697326660156,445.8270721435547
511.072998046875,480.5315399169922,467.47715759277344,483.656005859375
524.0880889892578,463.0375213623047,458.8603210449219,474.2448425292969
489.30076599121094,482.8629150390625,477.66522216796875,471.36045837402344
460.1334991455078,463.42527770996094,469.67779541015625,482.7549743652344
485.4432067871094,482.35614013671875,479.5523681640625,466.5434265136719
464.40106201171875,492.66725158691406,457.9144287109375,482.717529296875
460.4446105957031,486.3949279785156,446.1239318847656,472.6508331298828
498.87501525878906,478.1727600097656,449.3592529296875,444.8327941894531
522.3963623046875,489.27642822265625,477.3204040527344,466.5918731689453
527.2765197753906,484.4342956542969,467.5270080566406,488.55665588378906
526.7156829833984,485.55677795410156,478.1662292480469,472.89007568359375
526.6920013427734,474.19737243652344,488.2112731933594,475.2474060058594
440.6939239501953,528.2052459716797,465.094482421875,471.45826721191406
475.4944305419922,506.3209228515625,465.90692138671875,478.61474609375
486.6455993652344,503.78724670410156,479.1734313964844,473.3280334472656
492.9884490966797,524.7479248046875,476.55845642089844,486.4774475097656
532.3977813720703,521.1649169921875,467.19677734375,479.0143280029297
532.2571258544922,505.5166015625,491.71588134765625,479.20343017578125
536.5741577148438,470.75709533691406,479.1105499267578,478.47955322265625
494.87059020996094,499.6490478515625,474.40565490722656,488.6569061279297
460.4513244628906,525.0154876708984,475.2375793457031,486.5285186767578
476.0951690673828,524.3341674804688,466.18309020996094,489.14051818847656
469.5398406982422,522.9962005615234,473.7248992919922,490.0631561279297
463.79742431640625,513.8460540771484,481.42726135253906,480.6893615722656
489.3777770996094,533.0254974365234,454.14552307128906,474.79420471191406
537.8783416748047,538.8239593505859,488.0347595214844,477.1162567138672
522.6508331298828,474.98143005371094,469.88880920410156,491.6474151611328
525.6265106201172,499.334716796875,478.2021484375,475.527587890625
467.5060119628906,530.9725952148438,470.12579345703125,485.79945373535156
470.4109649658203,535.848388671875,476.3174591064453,490.2019348144531
483.427001953125,530.1570281982422,485.4294738769531,495.56675720214844
480.9294738769531,533.4054260253906,472.50201416015625,474.7406311035156
498.5167541503906,535.0132446289062,468.91358947753906,492.1259460449219
504.3758850097656,530.0727844238281,466.2080993652344,502.0516357421875
540.7936096191406,516.5983734130859,485.91944885253906,503.8674774169922
536.1049957275391,499.30430603027344,491.8915557861328,499.9575500488281
469.91453552246094,528.8533172607422,502.92140197753906,482.5626678466797
497.69224548339844,535.2844085693359,488.4247741699219,498.0177001953125
469.4269256591797,518.7348022460938,467.7791748046875,484.6011962890625
513.7191925048828,536.9481658935547,496.4152526855469,481.8098907470703
502.8367614746094,537.7065887451172,472.6065216064453,489.2476806640625
513.1752166748047,543.0572814941406,481.728759765625,499.85926818847656
516.1225433349609,543.0643463134766,497.89927673339844,503.23255920410156
544.4740905761719,544.7710418701172,470.6940460205078,485.16416931152344
465.91725158691406,462.24444580078125,499.9456481933594,472.5638885498047
485.8565673828125,479.0624084472656,511.8815612792969,499.2458038330078
515.9810180664062,492.3090515136719,512.2073974609375,490.3565216064453
533.0668640136719,485.0790710449219,489.66416931152344,485.17767333984375
539.6352691650391,465.9119415283203,487.45033264160156,481.28944396972656
530.2975616455078,503.3692169189453,471.89991760253906,479.59739685058594
534.6343536376953,505.386962890625,474.7077178955078,483.1132049560547
533.8400726318359,472.986328125,498.39259338378906,486.62799072265625
480.9586944580078,498.29966735839844,510.5441589355469,495.05413818359375
489.22637939453125,467.81822204589844,487.6082458496094,484.51744079589844
519.586669921875,484.5932159423828,528.3912200927734,471.8295440673828
521.0122222900391,488.5352325439453,496.52227783203125,495.0789489746094
520.8855590820312,493.61167907714844,493.5839080810547,481.07330322265625
540.3534240722656,486.364990234375,484.0432434082031,504.14263916015625
527.5809936523438,496.9268341064453,502.6700897216797,474.2855529785156
540.3144226074219,502.5090789794922,501.2169494628906,494.20558166503906
492.7760314941406,532.0313415527344,531.2555084228516,495.614013671875
464.4224548339844,514.3787994384766,522.2232055664062,499.14698791503906
513.5919036865234,536.0640716552734,515.9706878662109,499.02313232421875
523.8224945068359,473.26600646972656,476.1094055175781,495.9677276611328
528.5444946289062,510.2156066894531,495.39881896972656,495.35089111328125
532.8881988525391,490.299560546875,485.8138885498047,495.00917053222656
541.1571655273438,495.04234313964844,485.1631774902344,500.1094512939453
544.9144744873047,497.9672546386719,512.195068359375,507.12754821777344
505.48756408691406,539.2531433105469,491.49449157714844,483.92144775390625
