Lane 0,Lane 1,Lane 2,Lane 3
-15.584712198604308,-11.53825156158238,-10.798746946606476,-18.103763251978506
-10.77710972193306,-9.592200231428793,-7.651484858866339,-15.865373434924939
-12.232218687979111,-11.374526479130685,-11.402472197460181,-18.791522549649535
-14.367007725304212,-12.429511492354727,-14.629962447879764,-20.96637426811434
-15.880125832739738,-12.045889260333713,-11.379278106950741,-15.250834444339398
-3.544546860269107,-4.336587850051741,-8.44567024457219,-12.44903129443347
-6.1668539548356724,-8.663004738634577,-13.408574714264704,-16.558854787287398
-12.36933967270097,-10.714423375445255,-12.863672025654964,-15.655672154570123
-6.287853967466845,-5.992279883896798,-5.397637973122065,-5.700427745157853
-9.23899625596828,-9.999569361104111,-12.331425590747097,-16.746431351057023
-10.087225748313223,-12.502046852372485,-15.752588276080475,-19.527647821281775
-13.54844705012328,-13.841798023134503,-16.701154708803415,-20.692394785964513
-17.041415841400102,-13.156857089125863,-11.229282604377664,-18.00376128342341
-11.061031965645396,-10.203596694358422,-12.230916445340492,-15.705193223483704
-13.06420259802756,-15.126138258617978,-16.49244699080469,-20.173222935305034
-13.139726655720317,-13.445004048334916,-13.884451031381708,-15.173109787003362
-14.479941619663949,-13.491371788067461,-13.188500689000321,-20.123998846296836
-13.625484870620447,-12.664698535559545,-9.420742860571565,-16.266619729374725
-9.737581013049676,-9.293019511338871,-11.692813015279867,-14.485746721925636
0.0,0.0,-2.613442235095564,0.0
-9.356485756624267,-9.550347521133945,-9.730238073458544,-16.476310236251255
-8.103671590311391,-6.2163043037413335,-5.163855939628083,-12.618290091967914
-10.497550256830253,-8.128745560466305,-8.719392189842536,-12.01561309927544
-11.032007997113574,-10.467729564310355,-10.323680484962903,-10.723623898606098
0.0,0.0,0.0,0.0
-8.37093542268741,-13.0492549406321,-14.679072951653414,-18.340333661589607
-11.66743008628961,-13.853377086306793,-16.293911982770634,-19.28179765351737
-13.341888231034872,-13.820055337769901,-17.55758649600329,-19.233255834392388
-14.706319194951009,-14.426925804867707,-14.432805861400487,-19.86218048469619
-13.001048763721515,-11.045431591110143,-11.887269424099863,-17.05154822889352
-10.838917818105678,-12.503239367386222,-11.122917443151422,-14.566577601887532
