Lane 0;Lane 1;Lane 2;Lane 3
-37.90768034;37.57809883;196.3195436;43.1670977
0;-50.02346556;0;171.4468203
-50;0;0;135.6788966
0;0;0;0
98.9966133;199.9816462;-12.51051617;98.95532233
-2.302078376;199.8969639;46.34993085;86.61039049
190.1503994;-25.00056062;24.43497061;49.38061096
42.70546246;0;-62.5;170.0329404
-0.002453825;49.48116619;92.78469548;199.9957102
0;187.4966807;-1.635976613;49.49505795
48.28697887;-1.268960606;0;186.6707619
0;0;0;0
0;-75;24.49073265;193.0183649
0;-0.039511361;0;0
0;0;74.99344121;-15.79553611
0;-1.728760559;0;0
0;-12.54145115;0;194.3347915
0;-0.5;87.49451213;-39.17553261
-26.70392405;0;0;74.99705453
0;0;0;0
-16.91581432;96.2895076;199.8560902;77.27127487
0;-10.42362328;191.7042411;0
143.6984418;22.45903126;-50.12047412;-0.5
-29.83444587;0;189.1828052;0
181.6286215;-50;40.11832951;47.88557724
172.8196523;0;0;-18.76647509
0;-50;170.7835488;0
33.13638962;-34.375;0;143.7890795
0;0;-9.411827402;132.3715169
74.98869318;0;-50;0
-50;0;171.0296772;33.4982981
0;-32.81252108;0;87.07950096
0;-75;114.0549302;0
0;0;-26.68978065;0
0;0;0;0
0;0;0;0
-31.25507836;196.0645262;61.76428476;66.53085505
-50;0;0;99.02506813
-37.56494696;139.155606;0;0
0;0;0;0
169.3989;47.93310345;-50;0
0;-38.31384924;0;0
0;0;-50;0
0;0;0;0
-52.34397021;0;149.9966692;22.15458238
0;0;0;0
0;0;87.5;-50
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
199.7014661;98.99265273;-0.022631275;98.99053662
97.64808085;199.9667027;83.17179386;-3.375633836
199.4730031;57.44425846;40.66095782;-39.64887434
0;0;0;0
199.9361678;49.47570255;49.49545384;-9.409868969
184.1997828;0;-35.07755261;0
0;0;-2.420145484;149.4213412
0;0;0;0
-50;197.3009138;0;49.09138879
0;0;-18.75253039;163.6851265
-28.34110313;50;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
-21.30459428;47.84474804;86.40133783;199.9645579
189.4369178;0;-0.836433056;0
34.85112566;0;187.896173;-50
0;0;0;0
48.47099743;49.48993447;124.4840945;-50
0;-13.70785245;0;163.654073
0;68.74800138;0;-32.8125
0;0;0;0
0;0;159.9603951;-56.25586639
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;49.47143269;-50;198.0187516
49.47143269;165.0564469;-37.71273381;0
19.81158865;-50.00258812;0;106.249263
0;0;0;0
0;0;170.2159469;-56.25729077
0;0;-27.93028029;0
-29.68841135;0;0;0
0;0;0;0
-37.5;0;133.6736425;0
-50;0;50;0
0;0;-50;50
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
